Date,Type,Journal,Language post,Field,Link,DOI,Likes,Comments,Shares,Altmetric,Twitter,Facebook,Blogs,Mendeley,Observ.,Other Altmetric/Lang paper
Sep/25/2017,Release,Brazilian Administration Review,em,Administração,http://humanas.blog.scielo.org/en/2017/09/25/internationalizing-our-publication-the-increase-in-the-number-of-submissions-to-the-bar-from-countries-located-in-different-continents/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1807-769220170002&lng=pt&nrm=iso,10,1,0,0,0,0,0,0,Link p/blog. 1 comment indicação. Blog link p/edição. 30 likes FB blog., 
Mar/10/2017,release,Intercom – INTERC,pt,Comunicação,http://humanas.blog.scielo.org/blog/2017/01/30/imprensa-audiovisual-e-cidadania-sao-temas-discutidos-em-intercom-revista-brasileira-de-ciencias-da-comunicacao/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1809-584420160002&lng=en&nrm=iso,1,0,0,,,,0,,Link p/blog. Blog link p/edição,
Mar/22/2017,release,Intercom – INTERC,pt,Comunicação,http://humanas.blog.scielo.org/blog/2017/03/22/a-publicacao-revista-intercom-discute-democratizacao-participacao-e-revelacoes-da-pesquisa-em-comunicacao/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1809-584420160003&lng=en&nrm=iso,6,0,0,,,,0,,"Link p/blog. Blog 2 likes FB, link p/edição",
Sep/15/2017,Release,"Trabalho, Educação e Saúde – TES",pt,Educação,http://humanas.blog.scielo.org/blog/2017/09/15/os-efeitos-da-nova-lei-da-terceirizacao-e-a-educacao-profissional-em-saude-como-contraponto/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1981-774620170002&lng=pt&nrm=iso,12,1,0,0,0,0,0,0,"Link p/blog pt,en,es. 37 likes FB blog. 1 comment indicação. Link p/edição blog.",pt
Oct/12/2017,Release,Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas – BGOELDI,pt,C.Humanas,http://humanas.blog.scielo.org/blog/2017/10/16/historia-e-arte-latino-americanas-sao-tema-do-periodico-boletim-do-museu-paraense-emilio-goeldi/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1981-812220170002&lng=pt&nrm=iso,12,2,1,0,0,0,0,0,Link p/ blog. 25 likes FB blog. Blog link p/edição. Comment indicação,pt
Mar/3/2017,release,Revista Bioética – BIOET,pt,Ética,http://humanas.blog.scielo.org/blog/2017/03/03/bioetica-na-medida-como-estimular-a-etica-na-vida-social/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1983-804220160003&lng=en&nrm=iso,8,2,2,,,,0,,Link p/blog. Blog link p/edição,
May/26/2017,Release,Revista Bioética – BIOET,pt,Ética,http://humanas.blog.scielo.org/blog/2017/05/26/bioetica-e-essencial/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=1983-804220170001&lng=en&nrm=iso,18,0,12,0,0,0,0,0,Link p/blog. Blog link p/edição.,
Jan/12/2017,release,Urbe,pt,Urbanismo,http://humanas.blog.scielo.org/blog/2017/01/12/urbe-retrata-questoes-inerentes-ao-processo-de-planejamento-urbano-de-cidades-do-brasil-chile-e-franca/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=2175-336920160003&lng=en&nrm=iso,2,0,0,,,,0,,Link p/blog. Link p/ediçnao,
Oct/23/2017,Release,urbe: Revista de Gestão Urbana,pt,Arquitetura,http://humanas.blog.scielo.org/blog/2017/10/23/urbe-na-semana-especial-do-blog-scielo-em-perspectiva-humanas/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=2175-336920170003&lng=en&nrm=iso,11,0,1,0,0,0,0,0,"Link p/ blog. 66 likes FB blog. Video FB, blog. Blog link edição.",pt
May/2/2017,Release,Estudos de Literatura Brasileira Cntemporânea,pt,Literatura,http://humanas.blog.scielo.org/blog/2017/05/02/estudos-de-literatura-brasileira-contemporanea-comemora-a-publicacao-de-seu-50o-numero/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=2316-401820170001&lng=pt&nrm=iso,6,0,5,0,0,0,0,0,,
Apr/25/2017,Release,Revista Brasileira de Política Internacional - RBPI,pt,relações Internacionais,http://humanas.blog.scielo.org/blog/2017/04/25/a-rbpi-e-o-pensamento-brasileiro-de-relacoes-internacionais-entrevista-com-paulo-roberto-de-almeida/,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-7329&lng=en&nrm=iso,2,0,0,0,0,0,0,,Link p/blog. 6 likes FB no blog + video. Link p/ edição,
Mar/23/2017,release,Contexto Internacional – CINT,en,Relações Internacionais,http://humanas.blog.scielo.org/en/2017/03/23/temporal-worlds-within-and-beyond-the-colonial-legacies-of-linear-time/,http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-8529&lng=en&nrm=iso,0,0,1,,,,0,,Link p/blog en. Blog link p/edição,
Aug/7/2017,Release,Acta Paulista de Enfermagem,pt,Enfermagem,https://pressreleases.scielo.org/blog/2017/08/07/blogs-tematicos-sobre-a-perda-de-um-filho-uma-estrategia-de-enfrentamento-e-mediacao-do-luto-de-maes/#.WfDfHUyZN3k,http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-2100&lng=en&nrm=iso,8,0,3,0,0,0,0,0,"Link p/blog pt, en. 116 likes FB blog. Blog link p/edição.",
Feb/17/2017,release,Dental Press Journal of Orthodontics – DPJO,pt,Odontologia,https://pressreleases.scielo.org/blog/2017/02/17/estudo-mostra-que-a-ma-oclusao-impacta-negativamente-a-qualidade-de-vida-de-adolescentes/#.WekgLBNSx3k,http://www.scielo.br/scielo.php?script=sci_serial&pid=2176-9451&lng=en&nrm=iso,5,0,1,,,,0,,"Link p/blog pt, en, es. Blog link p/edição.",
Jun/30/2017,Release,Cadernos Pagu,pt,Gênero,http://humanas.blog.scielo.org/blog/2017/06/30/cadernos-pagu-desafios-nossas-respostas-e-novidades/,www.scielo.br/cpa,9,0,13,0,0,0,0,0,Link p/blog. 95 likes FB blog. Link p/edição. Video,
Aug/31/2017,Release,Revista de Administração de Empresas - RAC,pt,Administração,http://humanas.blog.scielo.org/blog/2017/08/31/como-a-qualidade-na-pesquisa-cientifica-em-administracao-afeta-o-desenvolvimento-do-pais/,www.scielo.br/rae,4,0,0,0,0,0,0,0,Link p/blog. 3 likes FB blog. Blog link p//edição. Gif FB. Video blog.,
Aug/15/2017,Release,Revista Brasileira de Estudos Pedagógicos -RBEP,pt,Educação,http://humanas.blog.scielo.org/blog/2017/08/15/rbep-revista-brasileira-de-estudos-pedagogicos-n-248-discute-politicas-educacionais-e-cotidiano-escolar-praticas-pedagogicas-e-carreira-docente/,www.scielo.br/rbeped/,20,2,12,0,0,0,0,0,Link p/blog. 1 comment indicação. 42 likes FB Blog.,
Apr/26/2017,Release,Revista Brasileira de Política Internacional - RBPI,pt,relações Internacionais,http://humanas.blog.scielo.org/blog/2017/04/26/a-rbpi-e-uma-ideia-de-modernizacao-e-de-desenvolvimento-entrevista-com-amado-cervo/,www.scielo.br/rbpi,1,0,0,0,0,0,0,0,Link p/blog. Blog link p/ edição. 2 likes FB blog.,
Apr/27/2017,Release,Revista Brasileira de Política Internacional - RBPI,pt,Relações Internacionais,http://humanas.blog.scielo.org/blog/2017/04/27/a-rbpi-e-uma-ideia-de-internacionalizacao-entrevista-com-eduardo-viola/,www.scielo.br/rbpi,4,0,0,0,0,0,0,0,Link p/blog com video. Blog link p/ edição. 5 likes FB blog.,
Oct/25/2017,Release,urbe: Revista de Gestão Urbana,pt,Arquitetura,http://humanas.blog.scielo.org/blog/2017/10/25/improvisacao-deliberada-e-planejamento-urbano-contemporaneo-reflexoes-com-o-professor-enrique-silva-do-lincoln-institute/,www.scielo.br/urbe,4,1,0,0,0,0,0,0,Link p/ blog. 13 likes FB blog. Video blog. Blog link edição. Comment indicação,
Feb/22/2017,Notícia,,pt,Editoração,,,34,3,18,,,,0,,"Link p/ blog en, pt, es. Cometário 2 sugestão, uma pergunta.181 likes FB no blog.",
Jan/6/2017,Notícia,,pt,Falecimento,,,29,2,1,,,,0,,Foto,
Mar/24/2017,Nota,,pt,Editoração,,,15,0,7,,,,0,,sem link. Com foto.,
Mar/3/2017,Notícia,,pt,Cientometria,,,18,0,16,,,,0,,"Linkp/blog em en, pt, es. 59 likes blog pt.",
May/12/2017,Nota,Scielo,pt,Editoração,,,10,0,1,0,0,0,0,0,Apenas nota com foto.,
May/12/2017,Release,Boletim Museu Paraaense Emílio Goeldi; Ciências Humanas,pt,Ciências Humanas,http://humanas.blog.scielo.org/blog/2017/05/12/museu-lanca-primeira-edicao-de-2017-do-boletim-de-ciencias-humanas/,,4,0,1,0,0,0,0,0,Link p/blog. Blog 47 likes. Blog link p/ edição.,
Oct/25/2017,Notícia,Scielo,pt,Ética,http://blog.scielo.org/blog/2017/10/25/uma-solucao-estatistica-para-a-crise-de-replicacao-na-ciencia-publicado-originalmente-no-the-conversation-em-outubro2017/#.WfN1AkyZN3k,,10,1,2,0,0,0,0,0,"Link p/ blog en,pt, es. 22 likes FB blog. 1 comment indicação",
Sep/4/2017,Nota,Scielo,pt,Newsletter,http://eepurl.com/CmTs5,,2,0,0,0,0,0,0,0,,pt
